id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
19.4	336.52	372.8	407.9	438.88	458.8	466.32	463.5	450.28	425.36	388.44	350.22	327.7
19.5	336.1	372.5	407.75	438.9	459	466.6	463.75	450.4	425.3	388.2	349.85	327.25
19.6	335.68	372.2	407.6	438.92	459.2	466.88	464	450.52	425.24	387.96	349.48	326.8
19.7	335.26	371.9	407.45	438.94	459.4	467.16	464.25	450.64	425.18	387.72	349.11	326.35
19.8	334.84	371.6	407.3	438.96	459.6	467.44	464.5	450.76	425.12	387.48	348.74	325.9
19.9	334.42	371.3	407.15	438.98	459.8	467.72	464.75	450.88	425.06	387.24	348.37	325.45
20	334	371	407	439	460	468	465	451	425	387	348	325
20.1	333.47	370.62	406.78	438.98	460.11	468.21	465.18	451.05	424.87	386.69	347.51	324.44
20.2	332.94	370.24	406.56	438.96	460.22	468.42	465.36	451.1	424.74	386.38	347.02	323.88
20.3	332.41	369.86	406.34	438.94	460.33	468.63	465.54	451.15	424.61	386.07	346.53	323.32
20.4	331.88	369.48	406.12	438.92	460.44	468.84	465.72	451.2	424.48	385.76	346.04	322.76
20.5	331.35	369.1	405.9	438.9	460.55	469.05	465.9	451.25	424.35	385.45	345.55	322.2
20.6	330.82	368.72	405.68	438.88	460.66	469.26	466.08	451.3	424.22	385.14	345.06	321.64
20.7	330.29	368.34	405.46	438.86	460.77	469.47	466.26	451.35	424.09	384.83	344.57	321.08
20.8	329.76	367.96	405.24	438.84	460.88	469.68	466.44	451.4	423.96	384.52	344.08	320.52
20.9	329.23	367.58	405.02	438.82	460.99	469.89	466.62	451.45	423.83	384.21	343.59	319.96
21	328.7	367.2	404.8	438.8	461.1	470.1	466.8	451.5	423.7	383.9	343.1	319.4
21.1	328.17	366.82	404.58	438.78	461.21	470.31	466.98	451.55	423.57	383.59	342.61	318.84
21.2	327.64	366.44	404.36	438.76	461.32	470.52	467.16	451.6	423.44	383.28	342.12	318.28
21.3	327.11	366.06	404.14	438.74	461.43	470.73	467.34	451.65	423.31	382.97	341.63	317.72
21.4	326.58	365.68	403.92	438.72	461.54	470.94	467.52	451.7	423.18	382.66	341.14	317.16
21.5	326.05	365.3	403.7	438.7	461.65	471.15	467.7	451.75	423.05	382.35	340.65	316.6
21.6	325.52	364.92	403.48	438.68	461.76	471.36	467.88	451.8	422.92	382.04	340.16	316.04
21.7	324.99	364.54	403.26	438.66	461.87	471.57	468.06	451.85	422.79	381.73	339.67	315.48
21.8	324.46	364.16	403.04	438.64	461.98	471.78	468.24	451.9	422.66	381.42	339.18	314.92
21.9	323.93	363.78	402.82	438.62	462.09	471.99	468.42	451.95	422.53	381.11	338.69	314.36
22	323.4	363.4	402.6	438.6	462.2	472.2	468.6	452	422.4	380.8	338.2	313.8
22.1	322.87	363.02	402.38	438.58	462.31	472.41	468.78	452.05	422.27	380.49	337.71	313.24
22.2	322.34	362.64	402.16	438.56	462.42	472.62	468.96	452.1	422.14	380.18	337.22	312.68
22.3	321.81	362.26	401.94	438.54	462.53	472.83	469.14	452.15	422.01	379.87	336.73	312.12
22.4	321.28	361.88	401.72	438.52	462.64	473.04	469.32	452.2	421.88	379.56	336.24	311.56
22.5	320.75	361.5	401.5	438.5	462.75	473.25	469.5	452.25	421.75	379.25	335.75	311
22.6	320.22	361.12	401.28	438.48	462.86	473.46	469.68	452.3	421.62	378.94	335.26	310.44
22.7	319.69	360.74	401.06	438.46	462.97	473.67	469.86	452.35	421.49	378.63	334.77	309.88
22.8	319.16	360.36	400.84	438.44	463.08	473.88	470.04	452.4	421.36	378.32	334.28	309.32
22.9	318.63	359.98	400.62	438.42	463.19	474.09	470.22	452.45	421.23	378.01	333.79	308.76
23	318.1	359.6	400.4	438.4	463.3	474.3	470.4	452.5	421.1	377.7	333.3	308.2
23.1	317.57	359.22	400.18	438.38	463.41	474.51	470.58	452.55	420.97	377.39	332.81	307.64
23.2	317.04	358.84	399.96	438.36	463.52	474.72	470.76	452.6	420.84	377.08	332.32	307.08
