id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
45.7	97.6949	156.6991	231.0155	320.558872	388.3506	420.82295	409.6655	355.9755	274.2175	188.36785	117.2089	85.0198
45.8	97.1164	156.1196	230.478	320.197412	388.1816	420.7762	409.578	355.718	273.766	187.7926	116.6324	84.4528
45.9	96.5381	155.5399	229.9395	319.834788	388.0114	420.72855	409.4895	355.4595	273.3135	187.21665	116.0561	83.8862
46	95.96	154.96	229.4	319.471	387.84	420.68	409.4	355.2	272.86	186.64	115.48	83.32
46.1	95.3821	154.3799	228.8595	319.106048	387.6674	420.63055	409.3095	354.9395	272.4055	186.06265	114.9041	82.7542
46.2	94.8044	153.7996	228.318	318.739932	387.4936	420.5802	409.218	354.678	271.95	185.4846	114.3284	82.1888
46.3	94.2269	153.2191	227.7755	318.372652	387.3186	420.52895	409.1255	354.4155	271.4935	184.90585	113.7529	81.6238
46.4	93.6496	152.6384	227.232	318.004208	387.1424	420.4768	409.032	354.152	271.036	184.3264	113.1776	81.0592
46.5	93.0725	152.0575	226.6875	317.6346	386.965	420.42375	408.9375	353.8875	270.5775	183.74625	112.6025	80.495
46.6	92.4956	151.4764	226.142	317.263828	386.7864	420.3698	408.842	353.622	270.118	183.1654	112.0276	79.9312
46.7	91.9189	150.8951	225.5955	316.891892	386.6066	420.31495	408.7455	353.3555	269.6575	182.58385	111.4529	79.3678
46.8	91.3424	150.3136	225.048	316.518792	386.4256	420.2592	408.648	353.088	269.196	182.0016	110.8784	78.8048
46.9	90.7661	149.7319	224.4995	316.144528	386.2434	420.20255	408.5495	352.8195	268.7335	181.41865	110.3041	78.2422
47	90.19	149.15	223.95	315.7691	386.06	420.145	408.45	352.55	268.27	180.835	109.73	77.68
47.1	89.6141	148.5679	223.3995	315.392508	385.8754	420.08655	408.3495	352.2795	267.8055	180.25065	109.1561	77.1182
47.2	89.0384	147.9856	222.848	315.014752	385.6896	420.0272	408.248	352.008	267.34	179.6656	108.5824	76.5568
47.3	88.4629	147.4031	222.2955	314.635832	385.5026	419.96695	408.1455	351.7355	266.8735	179.07985	108.0089	75.9958
47.4	87.8876	146.8204	221.742	314.255748	385.3144	419.9058	408.042	351.462	266.406	178.4934	107.4356	75.4352
47.5	87.3125	146.2375	221.1875	313.8745	385.125	419.84375	407.9375	351.1875	265.9375	177.90625	106.8625	74.875
47.6	86.7376	145.6544	220.632	313.492088	384.9344	419.7808	407.832	350.912	265.468	177.3184	106.2896	74.3152
47.7	86.1629	145.0711	220.0755	313.108512	384.7426	419.71695	407.7255	350.6355	264.9975	176.72985	105.7169	73.7558
47.8	85.5884	144.4876	219.518	312.723772	384.5496	419.6522	407.618	350.358	264.526	176.1406	105.1444	73.1968
47.9	85.0141	143.9039	218.9595	312.337868	384.3554	419.58655	407.5095	350.0795	264.0535	175.55065	104.5721	72.6382
48	84.44	143.32	218.4	311.9508	384.16	419.52	407.4	349.8	263.58	174.96	104	72.08
48.1	83.8661	142.7359	217.8395	311.562568	383.9634	419.45255	407.2895	349.5195	263.1055	174.36865	103.4281	71.5222
48.2	83.2924	142.1516	217.278	311.173172	383.7656	419.3842	407.178	349.238	262.63	173.7766	102.8564	70.9648
48.3	82.7189	141.5671	216.7155	310.782612	383.5666	419.31495	407.0655	348.9555	262.1535	173.18385	102.2849	70.4078
48.4	82.1456	140.9824	216.152	310.390888	383.3664	419.2448	406.952	348.672	261.676	172.5904	101.7136	69.8512
48.5	81.5725	140.3975	215.5875	309.998	383.165	419.17375	406.8375	348.3875	261.1975	171.99625	101.1425	69.295
48.6	80.9996	139.8124	215.022	309.603948	382.9624	419.1018	406.722	348.102	260.718	171.4014	100.5716	68.7392
