id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
41.4	263.28	237.74	196.92	150.24	106.54	85.4	93.54	131.82	174.08	220.76	252.72	268.7
41.5	263.3	237.65	196.7	149.9	106.15	85	93.15	131.45	173.8	220.6	252.7	268.75
41.6	263.32	237.56	196.48	149.56	105.76	84.6	92.76	131.08	173.52	220.44	252.68	268.8
41.7	263.34	237.47	196.26	149.22	105.37	84.2	92.37	130.71	173.24	220.28	252.66	268.85
41.8	263.36	237.38	196.04	148.88	104.98	83.8	91.98	130.34	172.96	220.12	252.64	268.9
41.9	263.38	237.29	195.82	148.54	104.59	83.4	91.59	129.97	172.68	219.96	252.62	268.95
42	263.4	237.2	195.6	148.2	104.2	83	91.2	129.6	172.4	219.8	252.6	269
42.1	263.42	237.11	195.38	147.86	103.81	82.6	90.81	129.23	172.12	219.64	252.58	269.05
42.2	263.44	237.02	195.16	147.52	103.42	82.2	90.42	128.86	171.84	219.48	252.56	269.1
42.3	263.46	236.93	194.94	147.18	103.03	81.8	90.03	128.49	171.56	219.32	252.54	269.15
42.4	263.48	236.84	194.72	146.84	102.64	81.4	89.64	128.12	171.28	219.16	252.52	269.2
42.5	263.5	236.75	194.5	146.5	102.25	81	89.25	127.75	171	219	252.5	269.25
42.6	263.52	236.66	194.28	146.16	101.86	80.6	88.86	127.38	170.72	218.84	252.48	269.3
42.7	263.54	236.57	194.06	145.82	101.47	80.2	88.47	127.01	170.44	218.68	252.46	269.35
42.8	263.56	236.48	193.84	145.48	101.08	79.8	88.08	126.64	170.16	218.52	252.44	269.4
42.9	263.58	236.39	193.62	145.14	100.69	79.4	87.69	126.27	169.88	218.36	252.42	269.45
43	263.6	236.3	193.4	144.8	100.3	79	87.3	125.9	169.6	218.2	252.4	269.5
43.1	263.62	236.21	193.18	144.46	99.91	78.6	86.91	125.53	169.32	218.04	252.38	269.55
43.2	263.64	236.12	192.96	144.12	99.52	78.2	86.52	125.16	169.04	217.88	252.36	269.6
43.3	263.66	236.03	192.74	143.78	99.13	77.8	86.13	124.79	168.76	217.72	252.34	269.65
43.4	263.68	235.94	192.52	143.44	98.74	77.4	85.74	124.42	168.48	217.56	252.32	269.7
43.5	263.7	235.85	192.3	143.1	98.35	77	85.35	124.05	168.2	217.4	252.3	269.75
43.6	263.72	235.76	192.08	142.76	97.96	76.6	84.96	123.68	167.92	217.24	252.28	269.8
43.7	263.74	235.67	191.86	142.42	97.57	76.2	84.57	123.31	167.64	217.08	252.26	269.85
